"name","version","license","ecosystem","source"
"iconv-lite","0.7.2","MIT","pnpm","https://www.npmjs.com/package/iconv-lite/v/0.7.2"
"ieee754","1.2.1","BSD-3-Clause","pnpm","https://www.npmjs.com/package/ieee754/v/1.2.1"
"inherits","2.0.4","ISC","pnpm","https://www.npmjs.com/package/inherits/v/2.0.4"
"inquirer","9.3.8","MIT","pnpm","https://www.npmjs.com/package/inquirer/v/9.3.8"
"is-fullwidth-code-point","3.0.0","MIT","pnpm","https://www.npmjs.com/package/is-fullwidth-code-point/v/3.0.0"
"is-interactive","1.0.0","MIT","pnpm","https://www.npmjs.com/package/is-interactive/v/1.0.0"
"is-unicode-supported","0.1.0","MIT","pnpm","https://www.npmjs.com/package/is-unicode-supported/v/0.1.0"
"log-symbols","4.1.0","MIT","pnpm","https://www.npmjs.com/package/log-symbols/v/4.1.0"
"mime","4.1.0","MIT","pnpm","https://www.npmjs.com/package/mime/v/4.1.0"
"mimic-fn","2.1.0","MIT","pnpm","https://www.npmjs.com/package/mimic-fn/v/2.1.0"
"mute-stream","1.0.0","ISC","pnpm","https://www.npmjs.com/package/mute-stream/v/1.0.0"
"onetime","5.1.2","MIT","pnpm","https://www.npmjs.com/package/onetime/v/5.1.2"
"ora","5.4.1","MIT","pnpm","https://www.npmjs.com/package/ora/v/5.4.1"
"pretty-bytes","6.1.1","MIT","pnpm","https://www.npmjs.com/package/pretty-bytes/v/6.1.1"
"pretty-bytes","7.1.0","MIT","pnpm","https://www.npmjs.com/package/pretty-bytes/v/7.1.0"
"readable-stream","3.6.2","MIT","pnpm","https://www.npmjs.com/package/readable-stream/v/3.6.2"
"restore-cursor","3.1.0","MIT","pnpm","https://www.npmjs.com/package/restore-cursor/v/3.1.0"
"run-async","3.0.0","MIT","pnpm","https://www.npmjs.com/package/run-async/v/3.0.0"
"rxjs","7.8.1","Apache-2.0","pnpm","https://www.npmjs.com/package/rxjs/v/7.8.1"
"safe-buffer","5.2.1","MIT","pnpm","https://www.npmjs.com/package/safe-buffer/v/5.2.1"
"safer-buffer","2.1.2","MIT","pnpm","https://www.npmjs.com/package/safer-buffer/v/2.1.2"
"signal-exit","3.0.7","ISC","pnpm","https://www.npmjs.com/package/signal-exit/v/3.0.7"
"string_decoder","1.3.0","MIT","pnpm","https://www.npmjs.com/package/string_decoder/v/1.3.0"
"string-width","4.2.3","MIT","pnpm","https://www.npmjs.com/package/string-width/v/4.2.3"
"strip-ansi","6.0.1","MIT","pnpm","https://www.npmjs.com/package/strip-ansi/v/6.0.1"
"supports-color","7.2.0","MIT","pnpm","https://www.npmjs.com/package/supports-color/v/7.2.0"
"tslib","2.8.1","0BSD","pnpm","https://www.npmjs.com/package/tslib/v/2.8.1"
"type-fest","0.21.3","(MIT OR CC0-1.0)","pnpm","https://www.npmjs.com/package/type-fest/v/0.21.3"
"undici-types","7.16.0","MIT","pnpm","https://www.npmjs.com/package/undici-types/v/7.16.0"
"uqr","0.1.3","MIT","pnpm","https://www.npmjs.com/package/uqr/v/0.1.3"
"util-deprecate","1.0.2","MIT","pnpm","https://www.npmjs.com/package/util-deprecate/v/1.0.2"
"wcwidth","1.0.1","MIT","pnpm","https://www.npmjs.com/package/wcwidth/v/1.0.1"
"wrap-ansi","6.2.0","MIT","pnpm","https://www.npmjs.com/package/wrap-ansi/v/6.2.0"
"yoctocolors-cjs","2.1.2","MIT","pnpm","https://www.npmjs.com/package/yoctocolors-cjs/v/2.1.2"
